audit_id,page,project_key,visual_title,asset_path,visual_role,evidence_type,intended_takeaway,desktop_status,mobile_status,scientific_review,motion_opportunity,current_issue,recommended_change,priority,status
topic_north_slope,Overview / Topic Room,north_slope,North Slope energy screening poster,assets/topic_visuals/north_slope_energy.svg,Flagship topic poster,Concept grounded in working public-data explorer,Public GIS and structural data can become an inspectable screening tool without being presented as prediction,good,good,needed,medium,Poster is clear but still less convincing than the working 3D explorer,Use a real explorer capture as secondary proof and keep the poster as the simplified entry point,P0,source_visual_fixed
interactive_north_slope,Structural Explorer,north_slope,North Slope Structural Explorer,assets/structural_data/north_slope_master_3d_surfaces.parquet,Primary working interaction,Working scientific visualization,Visitors can select structural horizons and inspect public-data context in 3D,good,needs_work,needed,low,Phone controls and the 3D camera still require more focused defaults,Create a mobile preset with fewer horizons and simplified overlays then add provenance beside the chart,P0,planned
topic_earthquake,Overview / Topic Room,processing_visuals,Processing earthquake globe poster,assets/topic_visuals/earthquake_globe.svg,Flagship topic poster,Concept plus verified project evidence,Earthquake location depth magnitude and sound can become one sensory visual system,good,good,needed,high,Time depth and sonification are described more than demonstrated,Add the recovered video then build a short p5 loop with depth legend orbit time and magnitude pulses,P0,source_visual_fixed
evidence_earthquake,Topic Room,processing_visuals,Processing earthquake LinkedIn poster,assets/project_visuals/processing_earthquake_linkedin_poster.jpg,Primary historical evidence,Verified poster frame,The creative coding project existed before the current portfolio and anchors its visual origin story,good,good,complete,none,A still frame cannot communicate the original movement or sound,Recover or export the verified 54-second video and make it the first evidence item,P0,blocked_source
topic_graph,Overview / Topic Room,thesis_knowledge_graph,Critical-mineral knowledge graph poster,assets/topic_visuals/knowledge_graph.svg,Flagship topic poster,Concept grounded in real graph exports,Research notes and geologic relationships can become queryable structure,good,good,needed,high,The simplified graph does not yet connect visibly to the stronger real REE exports,Pair the poster with one real graph visual and label deposit mineral and evidence node types,P0,source_visual_fixed
evidence_graph,Topic Room,thesis_knowledge_graph,Bayan Obo REE graph,assets/project_visuals/ree_bayan_obo_main.png,Primary project evidence,Real Adobe and thesis visual,The knowledge-graph story is grounded in actual deposit and mineral relationship work,needs_work,needs_work,needed,medium,Dense labels and legacy composition are difficult to scan quickly,Create a cropped annotated version that highlights one relationship and links back to the full artifact,P1,planned
topic_seismic,Overview / Topic Room,pondicherry,Seismic processing poster,assets/topic_visuals/seismic_processing.svg,Topic poster,Concept grounded in notebooks and seismic outputs,A waveform becomes a reviewed arrival pick and defensible spatial interpretation,good,good,needed,high,The poster still separates the pick from its map outcome,Connect the P pick and station event map with one QA arrow and visible confidence band,P1,source_visual_fixed
evidence_seismic,Topic Room,pondicherry,Near-offset seismic annotation,assets/project_visuals/pondicherry_near_offset_reannotated.png,Primary project evidence,Real notebook or code output plus recovered email source screenshots,The seismic workflow produces interpretable technical figures rather than only code,good,needs_work,needed,medium,Small annotations and recovered screenshots need project labels and mobile crops,Add a mobile crop and use the recovered CMP gather source map and pick-review screenshots as inputs for the synchronized trace-pick-map panel,P1,in_progress
topic_agent,Overview / Topic Room,arcgis_raster_ml,Scientific software agent poster,assets/topic_visuals/agent_training.svg,Topic poster,Concept grounded in workflow screenshots,Screens recordings and rubrics can become reviewed examples for future software agents,good,good,needed,high,The final agent and failure handling have too little visual weight,Enlarge the agent add one failed rubric example and animate a reviewed cursor path,P1,source_visual_fixed
topic_rock,Overview / Topic Room,rock_classification,Rock resource mapping poster,assets/topic_visuals/rock_resource_map.svg,Topic poster,Concept grounded in classification evidence,Multiple physical and chemical signals can become reviewed rock classes and map zones,needs_work,good,needed,medium,Input ranges and the final block still feel like separate diagrams,Connect each signal to a matching zone enlarge the output and hatch overlaps,P1,source_visual_fixed
topic_field,Overview / Topic Room,valles_caldera,SAGE field acquisition map,assets/project_visuals/powerpoint_sources/valles_sage/valles_sage_slide_050_1_field_acquisition.png,Topic lead visual,PowerPoint-derived source figure,Field line geometry and station layout anchor the method-comparison story in the actual SAGE deck,good,good,needed,medium,The old concept poster was too generic and has been replaced by source-derived SAGE evidence,Keep the deck-derived map as the lead image and pair it with TEM/MT profiles in the source strip,P1,source_visual_fixed
topic_moho,Overview / Topic Room,moho_ml,Moho transfer poster,assets/topic_visuals/moho_transfer.svg,Topic poster,Concept grounded in recovered ML work,Geoscience ML must be tested on new geography and explained through residuals,good,good,needed,high,Transfer risk and spatial leakage are still secondary details,Make the train test boundary residual map and leakage gate the dominant sequence,P1,source_visual_fixed
topic_pipeline,Overview / Topic Room,stock_dashboard,Codex app pipeline poster,assets/topic_visuals/app_pipeline.svg,Topic poster,Concept grounded in a working tracked app,Existing files can become a tested deployed application with validation in the main loop,needs_work,good,needed,high,Validation and Streamlit deployment do not dominate the workflow enough,Put tests and leakage checks in the main path add Streamlit and loop failures back to Codex,P1,source_visual_fixed
system_map,System Map,portfolio_profile,Animated architecture map,,Primary architecture interaction,Working p5 interaction,Evidence moves through software and expert review before publication,good,good,complete,complete,The desktop and phone representations are intentionally different but are not described as two views,Add a small legend explaining animated desktop versus stacked phone architecture,P2,planned
homepage_hierarchy,Overview,portfolio_profile,Homepage visual hierarchy,,Primary visitor entry,Website composition,Visitors understand the thesis and can identify the strongest work within 15 seconds,good,good,complete,none,The flagship order is curated manually and can drift from audit priorities,Drive flagship selection from P0 audit rows after the first audit cycle is stable,P2,planned
