project_key,deck_title,drive_url,source_type,status,use_for,local_copy,notes
north_slope,FINAL 9-SLIDE REVISION North Slope Gas Hydrate ML Parameter Architecture Slides 2026-06-11,https://docs.google.com/presentation/d/1F7XJXA5DKS6JfvzOSJ6BZNBgHIqg71dgXg9MxjZL0-o,Google Slides,active source,North Slope ML parameter grid decision map feature engineering validation and public-safe acceptance criteria,assets/drive_slide_thumbnails,"Newest North Slope slide source verified June 11, 2026; local thumbnails include slide 4 parameter grid and slide 7 decision map."
north_slope,UPDATED North Slope Gas Hydrate Reservoir Characterization Research Overview,https://docs.google.com/document/d/14M9_6-RAKCzRj3889TTHlTPmjFeZItujvN2xG1xVleI,Google Doc,active source,North Slope source narrative and documentation,Drive link only,"Fresh doc paired with the updated North Slope deck."
north_slope,AI North Slope Gas Hydrates - Unclassified Transfer,https://drive.google.com/drive/folders/1BWq9aP9k0Xf4UfV0OxQLX6v6FgLvL5Pf,Drive folder,local source library,Curated PDFs DOCX files maps manifests and public data references,assets/drive_sources/north_slope_source_library,"North Slope curated source library zip is already downloaded and extracted locally."
thesis_knowledge_graph,Thesis Ch.1 Presentation,https://docs.google.com/presentation/d/1gJeJLNLMWuDrnaPn9hUNj6kvtGLy8X93YEkALhroWLc,Google Slides,source candidate,Mountain Pass and Bayan Obo knowledge-graph topic expansion,Drive link only; export returned 403,"Readable through connector; use as source for critical-minerals graph cards and future screenshots."
moho_ml,ADVGIS Final,https://docs.google.com/presentation/d/1hhBL8bDuMQZgvZynY7m17sjDOzowtZk9fN_ZyHi5-ig,Google Slides,source candidate,GIS/Moho depth topic and ArcGIS methods story,Drive link only; export returned 403,"Readable through connector; includes formation properties Moho depth and ArcGIS feature workflow slides."
pondicherry,Exploration Seismology FInal Land data,https://docs.google.com/presentation/d/1DwJ6SYkXptmYenoTOY64plNg15kE57fknS9l7wm3sQo,Google Slides,source candidate,Seismology topic screenshots and notebook-method context,Drive link only,"Candidate deck for replacing generic seismic imagery with project-specific slide visuals."
pondicherry,Near-Surface Dwellers Presentation,https://docs.google.com/presentation/d/1bY4HCjuD-60DU6IMZXA_DAMeqza3Gq_xH_-Xd_-NwIA,Google Slides,source candidate,Near-surface geophysics or seismic topic expansion,Drive link only,"Candidate deck for a new near-surface geophysics topic."
valles_caldera,Alaska Seismotech portfolio,https://docs.google.com/presentation/d/1kYlm6-a58kCpQe6T5-21cWgzO058dEj0QU-N0ix9b6M,Google Slides,source candidate,Portfolio/geophysics screenshots and new project cards,Drive link only,"Candidate source deck for field/geophysics visual assets."
rock_classification,SEM petrography,https://docs.google.com/presentation/d/1vvMzqiRPkHiyPTyq6fZki04ZMUor7N1zR0SPebxmX_w,Google Slides,source candidate,Rock classification thin-section topic expansion,Drive link only,"Candidate source for petrography screenshot/topic cards."
rock_classification,Copy of SEM petrography,https://docs.google.com/presentation/d/1cZip8WoAQBqK4Ji143f8C2CMXfEbmu7rJR1boh_o0Xs,Google Slides,source candidate,Backup petrography source deck,Drive link only,"Duplicate/copy source; useful only if original lacks access."
seismic,NoisePy,https://docs.google.com/presentation/d/1db8rT7vo8nEx8ZHyfIiOEqbIz4rheQdT8rVrc0B_BBs,Google Slides,source candidate,Ambient-noise/seismic workflow topic candidate,Drive link only,"Potential new seismic/noise-processing topic."
portfolio_profile,Portfolio,https://docs.google.com/presentation/d/12VQ3UmbTK3TGwnl8ezYRRo_Troyx0oibhunt6jvUpQs,Google Slides,source candidate,Older portfolio material and visual source audit,Drive link only,"Candidate source for historical portfolio images and project framing."
