category,title,url,mime_type,why_it_matters,priority
folder,Google AI Studio,https://drive.google.com/drive/folders/1CfMlYb9XT86HgXYdBAopEpMPxwDmgi_q,application/vnd.google-apps.folder,"Potential source for AI platform artifacts and prompts connected to the workflow story.",high
presentation,Thesis Ch.1 Presentation,https://docs.google.com/presentation/d/1gJeJLNLMWuDrnaPn9hUNj6kvtGLy8X93YEkALhroWLc,application/vnd.google-apps.presentation,"Strong thesis and knowledge-graph presentation candidate for the research-to-deck story.",high
video,Thesis Ch.1 Presentation video,https://docs.google.com/videos/d/1OEV--VTcTGOA92IW35WM9SpvBV6w7j6ApUVweiIp4Jk,application/vnd.google-apps.vid,"Video companion to the thesis presentation; useful if the site includes embedded or linked media.",medium
presentation,ADVGIS Final,https://docs.google.com/presentation/d/1hhBL8bDuMQZgvZynY7m17sjDOzowtZk9fN_ZyHi5-ig,application/vnd.google-apps.presentation,"Advanced GIS presentation likely useful for geospatial visualization evidence.",high
presentation,Professional profile.pptx,https://drive.google.com/file/d/1iABhVHvCdmPE2hT-nf1tdT0O4ob29G2w,application/vnd.openxmlformats-officedocument.presentationml.presentation,"Older profile deck that can provide biography, portfolio language, and visual identity references.",medium
presentation,Portfolio,https://docs.google.com/presentation/d/12VQ3UmbTK3TGwnl8ezYRRo_Troyx0oibhunt6jvUpQs,application/vnd.google-apps.presentation,"Portfolio deck reference for how previous work was packaged and shown.",medium
presentation,Alaska Seismotech portfolio,https://docs.google.com/presentation/d/1kYlm6-a58kCpQe6T5-21cWgzO058dEj0QU-N0ix9b6M,application/vnd.google-apps.presentation,"Relevant Alaska/geoscience portfolio material for the North Slope and seismic workflow thread.",high
presentation,Exploration Seismology Final Land data,https://docs.google.com/presentation/d/1DwJ6SYkXptmYenoTOY64plNg15kE57fknS9l7wm3sQo,application/vnd.google-apps.presentation,"Geophysical presentation material that can support the scientific visualization arc.",medium
presentation,NoisePy,https://docs.google.com/presentation/d/1db8rT7vo8nEx8ZHyfIiOEqbIz4rheQdT8rVrc0B_BBs,application/vnd.google-apps.presentation,"Seismology/software presentation candidate for technical project breadth.",medium
document,new query with all stuff,https://docs.google.com/document/d/1MSvV3WP-aoFS11Br_JiQaamUccU908cK5dAlgkAna84,application/vnd.google-apps.document,"Recent document title suggests source/query aggregation, useful for explaining AI-assisted information gathering.",high
document,pdf combined,https://docs.google.com/document/d/1UVQsrCSfl9HU6PG01hU6NH-aWvAH-1p_Hdp-oz8m69Q,application/vnd.google-apps.document,"Evidence of combining PDFs into a larger synthesis workspace.",high
document,PDF notes reorganized,https://docs.google.com/document/d/1UDGUQI6pGWXPkzJebWs2-Kstrl_oLUO_5I0378oVEgE,application/vnd.google-apps.document,"Good example for source-to-notes-to-structure workflow.",high
document,pdf notes,https://docs.google.com/document/d/1q03hzDpoMsnw3jcb6t2BHMMTspzgkKvafTV89oA8gJw,application/vnd.google-apps.document,"Raw notes stage for explaining iterative research synthesis.",medium
document,Geomechanical relationship with Wireline Logging AN,https://docs.google.com/document/d/1tsbqkQZ0nJzLgjifWcgTL3rpshHEpdvqp6CXp8rkYpc,application/vnd.google-apps.document,"Relevant to wireline logging, geomechanics, and the North Slope research-paper workflow.",high
document,gis notes,https://docs.google.com/document/d/1XBH2cRH1BtZ8AY4kVni2rp8vePYCGeySu6dymgcl5as,application/vnd.google-apps.document,"GIS notes can become context for the QGIS/ArcGIS workflow section.",medium
folder,GIS_layers,https://drive.google.com/drive/folders/1rjU58kO4IsKgaNgV72iSVFF2WZZaGsMQ,application/vnd.google-apps.folder,"Drive folder for GIS data layers; useful as source evidence but should be curated before embedding.",medium
folder,ArcGIS_Figures,https://drive.google.com/drive/folders/1s15lvSimWk8HQe_P-0pplnzro99zpbNp,application/vnd.google-apps.folder,"Likely contains figure assets that could strengthen the visual evidence section.",high
document,covergis,https://docs.google.com/document/d/130Sx4nr-VeSxhDnr-6vnp_VJYhfIQrxjvT63HC1jLNo,application/vnd.google-apps.document,"Contains concise language about GIS, Python, QGIS, ArcGIS Pro, spatial databases, and environmental applications.",medium
document,washingtongiscover,https://docs.google.com/document/d/1206-0bdLd4Gxc9N5pDdos2OhjS1LhGR8pmeaGf6k44Q,application/vnd.google-apps.document,"Contains strong project descriptions for GIS, remote sensing, and environmental research.",medium
pdf,Sm-Nd automated data collection paper,https://drive.google.com/file/d/18Pk0UcNOh-kLikwMqM0YxcBIjqpY3dHO,application/pdf,"Useful external/source example for automated extraction from geoscience literature and source-to-data workflows.",medium
