category,title,source_path,why_it_matters,deck_use,priority
handoff,LinkedIn media handoff,C:\Users\gargi\Documents\Next level productivity\linkedin_media_handoff.md,"Existing Codex handoff with confirmed files, candidate media, and caveats.","Use as the master discovery note.",high
profile,LinkedIn profile PDF,C:\Users\gargi\Downloads\Profile.pdf,"Profile/resume text source for bio, project framing, and credibility.","Use for intro/about slide or site bio.",medium
profile,LinkedIn profile text,C:\Users\gargi\Documents\Next level productivity\linkedin_profile_text.txt,"Extracted profile text that is easier to quote and summarize than the PDF.","Use for concise personal positioning.",medium
media,Contact sheet 02,C:\Users\gargi\Documents\Next level productivity\media_contact_sheets\contact_sheet_02.jpg,"Code, terminal, and structural explorer screenshots from recent work.","Use as evidence for coding plus 3D visualization workflow.",high
media,Contact sheet 05,C:\Users\gargi\Documents\Next level productivity\media_contact_sheets\contact_sheet_05.jpg,"PowerPoint, account, Vagon, and 3D geoscience visualization screenshots.","Use as evidence for remote/cloud workflow and presentation work.",medium
media,Contact sheet 07,C:\Users\gargi\Documents\Next level productivity\media_contact_sheets\contact_sheet_07.jpg,"Chat/workflow, meeting, document, calendar, QGIS, and regional map screenshots.","Use for workflow architecture and collaboration story.",high
media,Contact sheet 08,C:\Users\gargi\Documents\Next level productivity\media_contact_sheets\contact_sheet_08.jpg,"QGIS tables, processing dialogs, layer editing, and geospatial outputs.","Use for QGIS/Handshake AI visual proof.",high
streamlit,Stock research dashboard,C:\Users\gargi\Downloads\stockprediction2025,"Private Streamlit dashboard with GitHub Actions pipeline, model baselines, ranked watchlists, 3D stock maps, and local database export.","Case study: AI-assisted automated decision-support dashboard.",high
streamlit,North Slope gas hydrate dashboard,C:\Users\gargi\Documents\Next level productivity\Gas hydrates unclassified info\north-slope-gas-hydrates,"Public-source Streamlit regional atlas with GIS layers, Plotly structural scenes, research framework, and synthetic well-log planning scaffold.","Case study: geoscience research atlas and paper workflow.",high
processing,Earth layer Processing sketch,C:\Users\gargi\OneDrive\Documents\Processing\sketch_240427a\sketch_240427a.pde,"Early Processing sketch for Earth layers and convection-speed visualization.","Use as origin story for scientific coding and visualization.",medium
processing,Geophysical radial map Processing sketch,C:\Users\gargi\OneDrive\Documents\Processing\sketch_241101a\sketch_241101a.pde,"Radial knowledge map connecting geophysical methods, formations, measurements, and properties.","Use as evidence of visual knowledge organization.",high
processing,Magnetic field and tectonics sketches,C:\Users\gargi\OneDrive\Documents\Processing\tectonics_pres,"Processing sketches for magnetic field, plasma, solar flare, and tectonics presentation visuals.","Use for creative scientific visualization section.",medium
presentation,North Slope presentation scaffold,C:\Users\gargi\Downloads\Alaska_North_Slope_Wireline_ML_Presentation_Scaffold_outline.pptx,"Recently generated PowerPoint scaffold for wireline ML presentation.","Use as a reference for deck-generation workflow.",high
document,Research paper draft,C:\Users\gargi\Documents\Next level productivity\Gas hydrates unclassified info\project_blueprints\Alaska_North_Slope_Wireline_ML_Research_Paper_Draft.docx,"AI-assisted manuscript draft from source material and project blueprint.","Use for paper-writing workflow section.",high
document,Source library index,C:\Users\gargi\Documents\Next level productivity\Gas hydrates unclassified info\source_library\source_index.md,"Curated source library index for accumulating and navigating many pages of sources.","Use for Obsidian/source-to-insight workflow.",high
video,Thesis knowledge graph video,C:\Users\gargi\Downloads\Rohan_Nanda_ThesisCH1_REEKnowledgeGraph.mp4,"Large video candidate showing thesis knowledge graph / AI research story.","Use as media candidate if deck/site supports video.",medium
notebook,Pondicherry earthquake velocity notebook,"C:\Users\gargi\Downloads\VelocityAnalysisPalkStraight.ipynb","Jupyter seismic workflow for IRIS/USGS earthquake search, station/channel matching, ObsPy waveform download, manual P-wave picking, epicentral distance, apparent velocity, Folium mapping, and water/unknown segment Vp solving.","Case study: earthquake data pipeline and notebook-based scientific app/workflow.",high
code,Pondicherry earthquake velocity Python export,"C:\Users\gargi\Downloads\VelocityAnalysisPalkStraight.py","Python export of the earthquake velocity notebook, useful for extracting code into a reproducible app or site explanation.","Use as code evidence or as a basis for a Streamlit conversion.",medium
archive,Pondicherry earthquake workflow zip,"C:\Users\gargi\Downloads\VelocityAnalysisPalkStriaght.zip","Packaged version of the earthquake workflow artifacts.","Use as backup/source bundle if rebuilding the project section.",medium
notebook,Seismic Constraints Pondicherry notebook,"C:\Users\gargi\Downloads\Seismic Constraints on Aquifer Potential in Under-Monitored Crystalline Terrains of Pondicherry, India (1).ipynb","Companion notebook with earthquake event collection, mapping, station metadata, and waveform/velocity steps tied to an aquifer-potential research framing.","Use as polished research-context companion to the PALK velocity notebook.",high
